date,position_change,capital_change,positions,capital_deployed
2022-01-24,-1,-1861.234281516441,3,-1685.2739926938748
2022-01-26,1,1885.311195699724,4,200.03720300584928
2022-01-27,-2,-3446.4066786241146,2,-3246.3694756182654
2022-01-28,2,3685.7411455562287,4,439.37166993796336
2022-02-01,0,-38.9081161299996,4,400.46355380796376
2022-02-02,0,-25.21817020750632,4,375.24538360045744
2022-02-04,0,-96.04889418013727,4,279.1964894203202
2022-02-07,0,-88.94431495832237,4,190.2521744619978
2022-02-09,1,1712.757578897399,5,1903.0097533593969
2022-02-10,0,42.50021705063614,5,1945.509970410033
2022-02-11,0,-27.03802753983382,5,1918.4719428701992
2022-02-14,-1,-1593.5749931828102,4,324.896949687389
2022-02-16,0,-43.014741923892416,4,281.8822077634966
2022-02-17,0,-15.205866373632716,4,266.67634138986386
2022-02-24,-2,-3246.3088157773773,2,-2979.6324743875134
2022-02-25,1,1685.283129731688,3,-1294.3493446558255
2022-02-28,1,1694.2571433891824,4,399.9077987333569
2022-03-03,0,-81.04928529200652,4,318.8585134413504
2022-03-04,0,-47.03747185789098,4,271.8210415834594
2022-03-07,1,1617.7851003294895,5,1889.606141912949
2022-03-08,-3,-4959.457657091912,2,-3069.8515151789625
2022-03-14,1,1672.8015163974844,3,-1397.049998781478
2022-03-15,-1,-1643.53257039505,2,-3040.582569176528
2022-03-16,2,3344.7892497885214,4,304.2066806119933
2022-03-18,1,1619.0128953740932,5,1923.2195759860865
2022-03-21,0,-18.866163889005065,5,1904.3534120970814
2022-03-22,0,3.4172758485178747,5,1907.7706879455993
2022-03-23,-1,-1674.6860063663548,4,233.0846815792445
2022-03-24,-1,-1692.8388948451038,3,-1459.7542132658593
2022-03-25,2,3352.380336701581,5,1892.6261234357219
2022-03-29,0,-32.36276190296849,5,1860.2633615327534
2022-03-30,0,37.20973528609943,5,1897.4730968188528
2022-04-05,0,-73.64013996279596,5,1823.8329568560569
2022-04-06,-1,-1475.7587281472872,4,348.0742287087696
2022-04-07,0,47.92970169292471,4,396.00393040169433
2022-04-08,0,-16.141645361362862,4,379.86228504033147
2022-04-11,0,-28.867747011436904,4,350.99453802889457
2022-04-19,-1,-1595.6261383721396,3,-1244.631600343245
2022-04-20,1,1584.878962135851,4,340.24736179260594
2022-04-21,0,-6.9179220126923155,4,333.3294397799136
2022-04-22,0,2.679605465254781,4,336.0090452451684
2022-04-25,-2,-3020.798632372952,2,-2684.7895871277833
2022-04-27,-1,-1557.6000478027252,1,-4242.389634930509
2022-04-28,1,1521.3828863474764,2,-2721.0067485830323
2022-04-29,3,4584.069775152521,5,1863.063026569489
2022-05-04,-1,-1538.545722212193,4,324.5173043572961
2022-05-09,1,1524.8972657905551,5,1849.4145701478512
2022-05-17,-1,-1587.7588827064674,4,261.65568744138386
2022-05-18,1,1541.9206680807004,5,1803.5763555220842
2022-05-19,-1,-1242.0027489992233,4,561.5736065228609
2022-05-23,0,-17.216187273099877,4,544.357419249761
2022-05-24,0,-6.512569546816849,4,537.8448497029442
2022-05-25,1,1301.9480201882816,5,1839.7928698912258
2022-05-26,-1,-1374.824500214746,4,464.9683696764798
2022-05-31,0,32.26288496714437,4,497.2312546436242
2022-06-03,1,1304.2748771564804,5,1801.5061318001046
2022-06-06,-1,-1580.6955754287817,4,220.81055637132295
2022-06-07,1,1479.3301016006894,5,1700.1406579720124
2022-06-08,0,-28.9068137081008,5,1671.2338442639116
2022-06-13,-1,-1273.6229007462985,4,397.6109435176131
2022-06-14,-2,-2589.573308753699,2,-2191.962365236086
2022-06-15,-1,-1382.8649066719706,1,-3574.827271908057
2022-06-17,-1,-1312.264248035356,0,-4887.091519943413
2022-06-22,3,4022.2249304217794,3,-864.8665895216336
2022-06-23,1,1346.8118066302989,4,481.94521710866525
2022-06-24,0,-42.29572341833182,4,439.64949369033343
2022-06-27,1,1345.04420192405,5,1784.6936956143834
2022-07-07,0,-26.498008393985174,5,1758.1956872203982
2022-07-08,0,-21.926297953681797,5,1736.2693892667164
2022-07-11,0,0.8280262160885741,5,1737.097415482805
2022-07-12,-1,-1407.7243209818316,4,329.37309450097337
2022-07-13,1,1374.20124119496,5,1703.5743356959333
2022-07-18,0,-57.73370207926746,5,1645.8406336166659
2022-07-20,0,20.91143950151809,5,1666.752073118184
2022-07-21,0,-21.58832966658315,5,1645.1637434516008
2022-07-22,0,-28.18883465224212,5,1616.9749087993587
2022-07-25,0,1.1500963678868175,5,1618.1250051672455
2022-07-28,0,-131.1366939337056,5,1486.98831123354
2022-07-29,0,12.58710189152498,5,1499.5754131250649
2022-08-01,0,-18.319021459279156,5,1481.2563916657857
2022-08-02,0,-10.713145376369312,5,1470.5432462894164
2022-08-03,-1,-1532.1608197978915,4,-61.61757350847506
2022-08-04,1,1414.9189497314937,5,1353.3013762230187
2022-08-09,0,-39.5666026658937,5,1313.734773557125
2022-08-15,0,-25.099481964414053,5,1288.635291592711
2022-08-17,-1,-1436.9389517352922,4,-148.3036601425813
2022-08-18,1,1529.7416843695482,5,1381.438024226967
2022-08-19,-2,-2855.1018379183806,3,-1473.6638136914137
2022-08-30,-1,-1457.420455850554,2,-2931.084269541968
2022-09-06,-1,-1406.3891885220849,1,-4337.4734580640525
2022-09-07,1,1476.3698125136152,2,-2861.1036455504372
2022-09-08,3,4419.018614145336,5,1557.9149685948987
2022-09-09,-1,-1289.7931062468415,4,268.1218623480572
2022-09-12,0,-21.041856371183258,4,247.08000597687396
2022-09-13,0,25.391262408307966,4,272.47126838518193
2022-09-15,-1,-1397.541590576244,3,-1125.0703221910621
2022-09-16,1,1465.666701236335,4,340.5963790452729
2022-09-20,-1,-1492.47292015964,3,-1151.876541114367
2022-09-23,-2,-2604.224814870667,1,-3756.1013559850344
2022-09-30,1,1379.9370837872607,2,-2376.1642721977737
2022-10-05,2,2653.9843262059267,4,277.82005400815297
2022-10-06,0,-20.06571328187988,4,257.7543407262731
