ticker,trades,net_pnl,gross_profit,gross_loss,wins,losses,win_rate,profit_factor,pnl_share
ULTA,2,-13.349474013661396,7.573794537081085,20.92326855074248,1,1,0.5,0.36197951188712923,-0.0028009385124124204
CTAS,5,-13.843341119873116,71.063505374285,84.90684649415812,4,1,0.8,0.8369584822488304,-0.00290455992823648
NOC,3,-14.310517054119373,72.37633856689081,86.68685562101018,2,1,0.6666666666666666,0.8349171053488881,-0.003002581098580981
ARM,1,-14.380437817051645,0.0,14.380437817051645,0,1,0.0,0.0,-0.003017251620993612
PAYX,6,-15.3117043790445,46.942538595911174,62.25424297495567,3,3,0.5,0.754045609626893,-0.0032126466137954502
TROW,3,-16.4596578307478,27.386605260271608,43.84626309101941,2,1,0.6666666666666666,0.6246052304028831,-0.003453506068635549
VRSK,1,-17.589156492100756,0.0,17.589156492100756,0,1,0.0,0.0,-0.0036904934058942444
AON,5,-18.777546441841892,79.09165691410703,97.86920335594893,4,1,0.8,0.8081363105250973,-0.003939837100978218
DG,8,-20.833683723793,159.98315076055337,180.81683448434637,5,3,0.625,0.8847801766732256,-0.004371248413059141
ZBH,3,-22.744072438423927,88.64429198077892,111.38836441920284,2,1,0.6666666666666666,0.7958128521141751,-0.004772079286171588
ACN,5,-23.721764895163005,20.971092918024397,44.6928578131874,3,2,0.6,0.46922694014515476,-0.004977215192842754
HLT,4,-26.057984222482332,67.20369941051626,93.2616836329986,3,1,0.75,0.7205928178926604,-0.005467392309981185
AFL,4,-27.67824872151823,36.954571253458425,64.63281997497666,1,3,0.25,0.5717617035395611,-0.00580735036608137
MPC,3,-27.854721021222645,26.626743377882008,54.48146439910465,2,1,0.6666666666666666,0.48873031721077587,-0.005844377147819006
FOX,1,-28.014564602638306,0.0,28.014564602638306,0,1,0.0,0.0,-0.005877914951832174
AVY,1,-28.72618283793008,0.0,28.72618283793008,0,1,0.0,0.0,-0.00602722412456242
SW,5,-30.278720571251156,136.75898143442691,167.03770200567806,3,2,0.6,0.8187312193134584,-0.006352971994836733
ALGN,5,-30.453565212877947,36.25269383788009,66.70625905075804,3,2,0.6,0.5434676498691785,-0.0063896572672242635
TFC,3,-31.650557440992884,51.49129707558677,83.14185451657966,1,2,0.3333333333333333,0.61931860162343,-0.006640805861345233
MCHP,6,-32.57004057813242,59.937309089056725,92.50734966718915,4,2,0.6666666666666666,0.6479194280745405,-0.006833728498423842
EVRG,7,-36.43821467776365,99.71576936814267,136.15398404590633,5,2,0.7142857142857143,0.7323749654987843,-0.007645334843159648
ARE,9,-36.86083521353204,135.9054060394285,172.76624125296053,5,4,0.5555555555555556,0.7866432993725828,-0.00773400756041867
