ticker,entry_date,exit_date,entry_price,entry_rsi,exit_price,exit_rsi,profit,profit_pct,days_held,exit_reason
AEE,2020-05-28,2020-06-02,73.94,63.7,74.91,70.8,0.97,1.31,5,RSI OB
AEE,2020-10-05,2020-10-08,80.72,68.2,81.73,75.4,1.01,1.25,3,RSI OB
AEE,2021-03-10,2021-03-12,76.19,58.1,77.3,77.9,1.11,1.46,2,RSI OB
AEE,2021-07-15,2021-07-20,84.07,67.3,83.98,77.0,-0.09,-0.11,5,RSI OB
AEE,2021-10-22,2021-11-05,85.28,67.5,85.5,70.1,0.22,0.26,14,RSI OB
AEE,2021-12-13,2021-12-20,87.96,56.8,86.4,71.8,-1.56,-1.77,7,RSI OB
AEE,2022-03-04,2022-03-29,89.52,65.4,92.4,77.4,2.88,3.22,25,RSI OB
AEE,2022-06-27,2022-07-28,88.97,39.8,92.06,71.6,3.09,3.47,31,RSI OB
AEE,2023-03-30,2023-04-11,86.45,64.8,90.17,73.8,3.72,4.3,12,RSI OB
AEE,2023-07-13,2023-07-14,85.25,61.7,85.47,70.4,0.22,0.26,1,RSI OB
AEE,2023-09-14,2023-09-26,81.04,55.8,76.85,45.7,-4.19,-5.17,12,SuperTrend
AEE,2023-10-13,2023-10-20,77.95,45.4,76.33,73.9,-1.62,-2.08,7,RSI OB
AEE,2024-04-24,2024-05-23,74.71,58.9,71.5,30.9,-3.21,-4.3,29,SuperTrend
AEE,2024-11-08,2024-11-21,90.19,56.6,93.97,75.0,3.78,4.19,13,RSI OB
AEE,2025-01-16,2025-01-21,93.86,61.1,96.24,70.4,2.38,2.54,5,RSI OB
AEE,2025-07-18,2025-07-22,98.7,68.9,100.92,72.4,2.22,2.25,4,RSI OB
AEE,2025-11-12,2025-12-02,105.72,56.4,101.51,35.5,-4.21,-3.98,20,SuperTrend
AEE,2026-01-14,2026-01-28,102.54,65.0,103.58,73.9,1.04,1.01,14,RSI OB
